id,title,fileType,date,description,name,tags,digital,thumbPath
az188,azur365 2023 Day 188,png,7/7/2023,HMS Formidable,188_formidable,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\188_formidable.jpg
az189,azur365 2023 Day 189,png,8/7/2023,RN Zara,189_zara,"azur365, fanart, azur lane, chibi, RN",1,.\public\assets\thumbnails\azur365\189_zara.jpg
az190,azur365 2023 Day 190,png,9/7/2023,RN Conte di Cavour,190_conte_di_cavour,"azur365, fanart, azur lane, chibi, RN",1,.\public\assets\thumbnails\azur365\190_conte_di_cavour.jpg
az191,azur365 2023 Day 191,png,10/7/2023,RN Giulio Cesare,191_Giulio_cesare,"azur365, fanart, azur lane, chibi, RN",1,.\public\assets\thumbnails\azur365\191_Giulio_cesare.jpg
az192,azur365 2023 Day 192,png,11/7/2023,RN Trento,192_trento,"azur365, fanart, azur lane, chibi, RN",1,.\public\assets\thumbnails\azur365\192_trento.jpg
az193,azur365 2023 Day 193,png,12/7/2023,RN Carabiniere,193_carabiniere,"azur365, fanart, azur lane, chibi, RN",1,.\public\assets\thumbnails\azur365\193_carabiniere.jpg
az194,azur365 2023 Day 194,png,13/7/2023,RN Littorio,194_littorio,"azur365, fanart, azur lane, chibi, RN",1,.\public\assets\thumbnails\azur365\194_littorio.jpg
az195,azur365 2023 Day 195,png,14/7/2023,USS Stanly,195_stanly,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\195_stanly.jpg
az196,azur365 2023 Day 196,png,15/7/2023,IJN Tanikaze,196_tanikaze,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\196_tanikaze.jpg
az197,azur365 2023 Day 197,png,16/7/2023,HMS Neptune,197_neptune,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\197_neptune.jpg
az198,azur365 2023 Day 198,png,17/7/2023,IJN Hamakaze,198_hamakaze,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\198_hamakaze.jpg
az199,azur365 2023 Day 199,png,18/7/2023,IJN Hiei,199_hiei,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\199_hiei.jpg
az200,azur365 2023 Day 200,png,19/7/2023,IJN Oyashio,200_oyashio,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\200_oyashio.jpg
az201,azur365 2023 Day 201,png,20/7/2023,IJN Kuroshio,201_kuroshio,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\201_kuroshio.jpg
az202,azur365 2023 Day 202,png,21/7/2023,HMS Abercrombie,202_abercrombie,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\202_abercrombie.jpg
az203,azur365 2023 Day 203,png,22/7/2023,HMS Prince of Wales,203_prince_of_wales,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\203_prince_of_wales.jpg
az204,azur365 2023 Day 204,png,23/7/2023,IJN Mikasa,204_mikasa,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\204_mikasa.jpg
az205,azur365 2023 Day 205,png,24/7/2023,IJN Isuzu,205_isuzu,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\205_isuzu.jpg
az206,azur365 2023 Day 206,png,25/7/2023,ROC Ping Hai,206_ping_hai,"azur365, fanart, azur lane, chibi, ROC",1,.\public\assets\thumbnails\azur365\206_ping_hai.jpg
